epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0024,0.97786,2.00234,1.28957,0.79319,0.74711,0.85124,0.61961,0.93307,1.3487,1.30655,0.000549692,0.000549692,0.000549692
2,184.081,1.03452,1.35886,1.28423,0.61457,0.5326,0.49392,0.32488,1.15991,1.80974,1.49499,0.00109989,0.00109989,0.00109989
3,268.329,1.05307,1.17284,1.29708,0.5834,0.49584,0.49191,0.27729,1.55013,2.28978,1.76761,0.00164458,0.00164458,0.00164458
4,351.164,1.08318,1.09954,1.307,0.80827,0.67684,0.79679,0.53119,1.24092,1.14059,1.57803,0.00164225,0.00164225,0.00164225
5,433.857,1.02805,0.97502,1.27984,0.90553,0.85735,0.92132,0.6623,1.00983,0.92207,1.34155,0.00163399,0.00163399,0.00163399
6,516.761,0.97943,0.90268,1.24791,0.90462,0.89252,0.95047,0.71621,0.94416,0.6713,1.256,0.00162574,0.00162574,0.00162574
7,599.806,0.98687,0.88868,1.25265,0.94729,0.83803,0.9405,0.7189,0.90848,0.72006,1.24201,0.00161749,0.00161749,0.00161749
8,682.261,0.9458,0.83694,1.23045,0.91076,0.87642,0.95172,0.72528,0.86804,0.62936,1.20298,0.00160924,0.00160924,0.00160924
9,765.016,0.92804,0.80828,1.21805,0.90441,0.86857,0.93737,0.69848,0.90338,0.70495,1.24831,0.00160099,0.00160099,0.00160099
10,849.254,0.89718,0.75888,1.19705,0.899,0.90116,0.948,0.72907,0.85075,0.68563,1.1939,0.00159274,0.00159274,0.00159274
11,931.732,0.88617,0.76538,1.18554,0.94357,0.86743,0.93821,0.71906,0.90159,0.6467,1.24193,0.00158448,0.00158448,0.00158448
12,1013.51,0.86764,0.7198,1.17163,0.91267,0.92166,0.95627,0.7446,0.84724,0.59071,1.17551,0.00157623,0.00157623,0.00157623
13,1093.68,0.86521,0.6983,1.17349,0.84572,0.70234,0.79739,0.57328,1.17201,0.92045,1.47582,0.00156798,0.00156798,0.00156798
14,1168.14,0.8482,0.6985,1.16814,0.93995,0.90389,0.95922,0.75866,0.80695,0.56029,1.16538,0.00155973,0.00155973,0.00155973
15,1233.79,0.82374,0.67345,1.15455,0.89862,0.82939,0.88969,0.68234,0.95202,0.71621,1.29794,0.00155148,0.00155148,0.00155148
16,1299.44,0.82715,0.65749,1.1495,0.95095,0.90689,0.95875,0.75442,0.81187,0.53365,1.17319,0.00154323,0.00154323,0.00154323
17,1364.96,0.80594,0.64142,1.13793,0.97944,0.90372,0.96618,0.79465,0.74033,0.50371,1.10336,0.00153497,0.00153497,0.00153497
18,1431.5,0.8139,0.6244,1.13741,0.93832,0.90531,0.9526,0.74936,0.8446,0.55282,1.21619,0.00152672,0.00152672,0.00152672
19,1518.04,0.77908,0.61444,1.1226,0.97921,0.93629,0.97673,0.80808,0.6991,0.47211,1.07558,0.00151847,0.00151847,0.00151847
20,1610.25,0.78397,0.60136,1.12613,0.96046,0.9442,0.98363,0.81488,0.70502,0.4407,1.09326,0.00151022,0.00151022,0.00151022
21,1713.47,0.76883,0.58773,1.11216,0.96654,0.93051,0.9763,0.79721,0.76243,0.46012,1.13173,0.00150197,0.00150197,0.00150197
22,1802.11,0.75268,0.57664,1.10146,0.95997,0.93057,0.97768,0.80201,0.73195,0.44202,1.11418,0.00149372,0.00149372,0.00149372
23,1888.2,0.75323,0.58047,1.10944,0.944,0.92938,0.97619,0.83416,0.63188,0.43507,1.04685,0.00148546,0.00148546,0.00148546
24,1974.91,0.75341,0.57154,1.10808,0.95502,0.95728,0.98883,0.83072,0.66051,0.40524,1.0553,0.00147721,0.00147721,0.00147721
25,2057.15,0.73863,0.55634,1.09535,0.97366,0.91033,0.97513,0.82667,0.68134,0.4459,1.06511,0.00146896,0.00146896,0.00146896
26,2141.36,0.74365,0.57258,1.10382,0.95851,0.95975,0.97764,0.82496,0.69345,0.4266,1.07096,0.00146071,0.00146071,0.00146071
27,2224.58,0.7334,0.5504,1.09854,0.94597,0.91572,0.96656,0.80351,0.69923,0.4705,1.09188,0.00145246,0.00145246,0.00145246
28,2307.3,0.71623,0.54211,1.08417,0.97552,0.9404,0.98301,0.84167,0.65504,0.38671,1.04939,0.00144421,0.00144421,0.00144421
29,2390.05,0.71169,0.5281,1.07614,0.9666,0.94083,0.98538,0.84108,0.64226,0.3921,1.03662,0.00143595,0.00143595,0.00143595
30,2472.63,0.70496,0.52051,1.07761,0.96842,0.95845,0.98584,0.85251,0.61909,0.36346,1.02399,0.0014277,0.0014277,0.0014277
31,2555.09,0.71568,0.51642,1.08385,0.96979,0.94873,0.98521,0.85187,0.60868,0.37364,1.02945,0.00141945,0.00141945,0.00141945
32,2637.9,0.72128,0.53069,1.0869,0.96373,0.96604,0.98709,0.8532,0.60704,0.38953,1.02577,0.0014112,0.0014112,0.0014112
33,2719.61,0.70174,0.52412,1.07501,0.96549,0.96344,0.98679,0.85012,0.63207,0.37395,1.04016,0.00140295,0.00140295,0.00140295
34,2799.77,0.69648,0.51589,1.07109,0.97553,0.96004,0.98267,0.851,0.59621,0.37398,1.00302,0.0013947,0.0013947,0.0013947
35,2879.63,0.67837,0.49774,1.06617,0.97754,0.94358,0.9815,0.84035,0.64038,0.37254,1.04481,0.00138644,0.00138644,0.00138644
36,2959.92,0.68783,0.50586,1.06424,0.97246,0.96114,0.98706,0.85612,0.61874,0.3649,1.03321,0.00137819,0.00137819,0.00137819
37,3039.87,0.68651,0.49804,1.06479,0.97223,0.97326,0.98917,0.86881,0.60406,0.3343,1.02583,0.00136994,0.00136994,0.00136994
38,3120.21,0.68249,0.48913,1.06395,0.98243,0.97325,0.99322,0.86268,0.61434,0.32685,1.03762,0.00136169,0.00136169,0.00136169
39,3203.31,0.69091,0.49618,1.07078,0.97833,0.9537,0.98775,0.86188,0.58346,0.35387,0.9956,0.00135344,0.00135344,0.00135344
40,3286.79,0.67917,0.48963,1.06113,0.95754,0.91332,0.97449,0.84751,0.58451,0.44376,1.01701,0.00134519,0.00134519,0.00134519
41,3370.51,0.65536,0.47494,1.0493,0.96882,0.97526,0.98765,0.85805,0.59426,0.34585,1.01778,0.00133693,0.00133693,0.00133693
42,3454.63,0.66435,0.48045,1.05551,0.98726,0.95374,0.98807,0.87047,0.57581,0.33748,1.00131,0.00132868,0.00132868,0.00132868
43,3538.79,0.66061,0.46892,1.05392,0.98233,0.97117,0.98995,0.87103,0.59141,0.33141,1.00364,0.00132043,0.00132043,0.00132043
44,3621.97,0.66645,0.47686,1.06129,0.96092,0.96761,0.9898,0.86963,0.58182,0.34406,1.00807,0.00131218,0.00131218,0.00131218
45,3707.94,0.65595,0.46785,1.04875,0.98219,0.96341,0.9877,0.8698,0.57411,0.33395,0.9959,0.00130393,0.00130393,0.00130393
46,3791.76,0.65162,0.46182,1.0435,0.97802,0.96417,0.98994,0.86909,0.57595,0.32197,0.99632,0.00129568,0.00129568,0.00129568
47,3874.53,0.65129,0.47002,1.05062,0.97429,0.96738,0.99041,0.87468,0.57938,0.32171,1.00022,0.00128742,0.00128742,0.00128742
48,3957.8,0.65656,0.46653,1.05159,0.98338,0.94708,0.98063,0.86363,0.59675,0.36669,1.01804,0.00127917,0.00127917,0.00127917
49,4039.91,0.64254,0.45782,1.0466,0.98376,0.96552,0.9911,0.87598,0.55943,0.32,0.98586,0.00127092,0.00127092,0.00127092
50,4122.21,0.64803,0.4628,1.04658,0.97799,0.964,0.98918,0.86796,0.59317,0.33065,1.0103,0.00126267,0.00126267,0.00126267
51,4204.73,0.63295,0.44263,1.03558,0.98862,0.97122,0.99219,0.88223,0.56282,0.29976,0.98908,0.00125442,0.00125442,0.00125442
52,4287.45,0.62523,0.44177,1.03402,0.98129,0.9533,0.98731,0.85668,0.60618,0.34222,1.01833,0.00124617,0.00124617,0.00124617
53,4370.29,0.61515,0.43474,1.02733,0.97914,0.95892,0.98599,0.88076,0.54236,0.33582,0.98171,0.00123791,0.00123791,0.00123791
54,4452.6,0.6103,0.42996,1.02587,0.98853,0.9584,0.98969,0.88409,0.55628,0.30932,0.9987,0.00122966,0.00122966,0.00122966
55,4534.36,0.62526,0.44091,1.03501,0.99335,0.97012,0.99246,0.88183,0.55167,0.29899,0.98963,0.00122141,0.00122141,0.00122141
56,4617.39,0.63202,0.44207,1.04042,0.98252,0.95795,0.99174,0.88109,0.5397,0.3221,0.98316,0.00121316,0.00121316,0.00121316
57,4701.49,0.62379,0.42728,1.03487,0.97648,0.97561,0.98899,0.87593,0.56013,0.30383,0.99673,0.00120491,0.00120491,0.00120491
58,4784.75,0.62111,0.42876,1.03213,0.98767,0.96296,0.99254,0.88319,0.55711,0.30286,0.98825,0.00119666,0.00119666,0.00119666
59,4868.54,0.60006,0.42123,1.01972,0.98201,0.97531,0.99083,0.89139,0.54102,0.29144,0.97653,0.0011884,0.0011884,0.0011884
60,4946.27,0.60699,0.4237,1.02745,0.99032,0.96726,0.99003,0.87965,0.57006,0.3142,0.99778,0.00118015,0.00118015,0.00118015
61,5015.75,0.61322,0.43326,1.0234,0.98227,0.97444,0.99296,0.88635,0.55026,0.30013,0.98588,0.0011719,0.0011719,0.0011719
62,5094.79,0.61718,0.42662,1.02644,0.97424,0.97034,0.99129,0.881,0.55909,0.3176,0.98723,0.00116365,0.00116365,0.00116365
63,5172.39,0.59868,0.42026,1.02324,0.98661,0.98093,0.99299,0.87831,0.55772,0.29917,0.98431,0.0011554,0.0011554,0.0011554
64,5248.83,0.59852,0.42021,1.02108,0.98811,0.9775,0.99308,0.8952,0.52254,0.28159,0.96895,0.00114715,0.00114715,0.00114715
65,5360.53,0.59484,0.41106,1.01624,0.98043,0.97314,0.99203,0.88342,0.5429,0.29705,0.98029,0.00113889,0.00113889,0.00113889
66,5514.23,0.59625,0.41064,1.01775,0.9855,0.978,0.99356,0.89118,0.52793,0.28256,0.97663,0.00113064,0.00113064,0.00113064
67,5591.48,0.58843,0.41378,1.01145,0.99302,0.98345,0.99443,0.8978,0.52433,0.27761,0.9714,0.00112239,0.00112239,0.00112239
68,5668.81,0.58958,0.39945,1.00871,0.9876,0.98648,0.99352,0.89274,0.54557,0.28388,0.9771,0.00111414,0.00111414,0.00111414
69,5743.68,0.58049,0.40401,1.01287,0.98617,0.97126,0.99297,0.88761,0.54352,0.29697,0.97014,0.00110589,0.00110589,0.00110589
70,5817.85,0.57791,0.40001,1.01061,0.9884,0.97854,0.99351,0.89955,0.50837,0.2745,0.95459,0.00109764,0.00109764,0.00109764
71,5895.33,0.57696,0.39306,1.00742,0.98671,0.9861,0.99206,0.89463,0.52824,0.28073,0.97327,0.00108938,0.00108938,0.00108938
72,5973.16,0.58045,0.40579,1.01425,0.98935,0.98558,0.99356,0.89632,0.51773,0.27348,0.97033,0.00108113,0.00108113,0.00108113
73,6045.26,0.57783,0.39955,1.00434,0.9876,0.97944,0.99353,0.89244,0.53215,0.28295,0.9831,0.00107288,0.00107288,0.00107288
74,6108.65,0.58595,0.40029,1.01598,0.98965,0.98136,0.99383,0.89879,0.51525,0.28031,0.95901,0.00106463,0.00106463,0.00106463
75,6179.14,0.5801,0.39822,1.0119,0.99299,0.98146,0.99429,0.89293,0.53238,0.27546,0.97824,0.00105638,0.00105638,0.00105638
76,6255.31,0.58405,0.39629,1.01156,0.99452,0.9836,0.99444,0.89604,0.52845,0.27259,0.97054,0.00104813,0.00104813,0.00104813
77,6331.93,0.562,0.39018,0.99645,0.98532,0.98008,0.99357,0.89975,0.51139,0.26887,0.96465,0.00103987,0.00103987,0.00103987
78,6405.49,0.57086,0.38899,1.00745,0.99391,0.98269,0.99435,0.90109,0.51555,0.27265,0.96273,0.00103162,0.00103162,0.00103162
79,6478.29,0.55038,0.37027,0.99612,0.99249,0.97622,0.99432,0.90614,0.51426,0.26772,0.96865,0.00102337,0.00102337,0.00102337
80,6551.02,0.5656,0.38569,0.99871,0.98975,0.973,0.99354,0.89743,0.52096,0.27795,0.96833,0.00101512,0.00101512,0.00101512
81,6626.05,0.57403,0.3928,1.00852,0.98046,0.98335,0.9937,0.90159,0.51742,0.269,0.97528,0.00100687,0.00100687,0.00100687
82,6698.88,0.55389,0.37716,0.99461,0.98971,0.97743,0.99039,0.89098,0.53852,0.27252,0.98958,0.000998616,0.000998616,0.000998616
83,6773.02,0.54998,0.37388,0.99296,0.98201,0.97738,0.99004,0.89219,0.50728,0.28145,0.96513,0.000990365,0.000990365,0.000990365
84,6848.61,0.55409,0.37473,0.9955,0.98624,0.9841,0.99423,0.90052,0.50731,0.25898,0.96467,0.000982113,0.000982113,0.000982113
85,6925.09,0.55346,0.37183,0.99633,0.99054,0.98252,0.9943,0.90479,0.52006,0.25789,0.97294,0.000973861,0.000973861,0.000973861
86,7000.88,0.54766,0.36834,0.99621,0.9801,0.9888,0.99381,0.90179,0.51852,0.26338,0.968,0.00096561,0.00096561,0.00096561
87,7074.73,0.55063,0.37244,0.99509,0.98386,0.98997,0.99425,0.90077,0.5155,0.26222,0.96483,0.000957358,0.000957358,0.000957358
88,7148.44,0.55848,0.38011,1.00229,0.98057,0.98158,0.99353,0.90243,0.52004,0.27108,0.97196,0.000949106,0.000949106,0.000949106
89,7224.51,0.54872,0.36579,1.00087,0.99019,0.9751,0.99381,0.90956,0.49326,0.25173,0.95407,0.000940855,0.000940855,0.000940855
90,7300.11,0.54382,0.36093,0.98871,0.98158,0.98308,0.99403,0.90802,0.50119,0.25988,0.95456,0.000932603,0.000932603,0.000932603
91,7372.73,0.53733,0.36547,0.9878,0.98255,0.98237,0.99365,0.9098,0.50074,0.25869,0.95453,0.000924352,0.000924352,0.000924352
92,7450.67,0.53686,0.36042,0.99044,0.99098,0.97168,0.99413,0.90916,0.50047,0.25812,0.95752,0.0009161,0.0009161,0.0009161
93,7521.82,0.54317,0.35884,0.98818,0.98504,0.97732,0.9937,0.90452,0.51234,0.26068,0.96029,0.000907848,0.000907848,0.000907848
94,7598.15,0.54637,0.36277,0.99079,0.99056,0.98259,0.99399,0.90727,0.50712,0.25652,0.954,0.000899597,0.000899597,0.000899597
95,7674.77,0.53975,0.36515,0.98847,0.98405,0.97956,0.99293,0.90753,0.50646,0.2614,0.95911,0.000891345,0.000891345,0.000891345
96,7747.45,0.54068,0.36912,0.98788,0.97842,0.98321,0.99225,0.9082,0.49543,0.25979,0.95357,0.000883093,0.000883093,0.000883093
97,7819.39,0.52067,0.35361,0.97876,0.99439,0.98156,0.99326,0.90122,0.51299,0.25351,0.9658,0.000874842,0.000874842,0.000874842
98,7894.35,0.53049,0.35629,0.98311,0.99039,0.97915,0.99415,0.90153,0.49948,0.25529,0.95963,0.00086659,0.00086659,0.00086659
99,7969.43,0.51763,0.3559,0.97923,0.98919,0.97774,0.99376,0.91262,0.49302,0.25445,0.95532,0.000858338,0.000858338,0.000858338
100,8044.99,0.52503,0.35159,0.98584,0.9901,0.97743,0.99431,0.91113,0.49515,0.24928,0.95215,0.000850087,0.000850087,0.000850087
